bin,sku,Msku,Asin,External id 1,External id 2,External id 3,title,Sellable,Unsellable - Total,Unsellable - Vendor Damage,Unsellable - Carrier Damage,Unsellable - Warehouse Damage,Unsellable - Defective,Unsellable - Shipper Damage,Unsellable - Customer Return Damage,Unsellable - Expired,Reserved,Customer returns,Pending Cancelled,Actual expiration,Amazon expiration
A100,X001QYBXFX,Clyhrbs-tubes-set-of-4-pk of 100-25each,B0BSXLG84C,,,,"Clayherbs 22ml | 25pc Each (Pack-100) Bulk Hotel Amenities Toileties For Hospitality Travel Size Mini Shampoo,Conditioner Shower Gel Moisturizer Cream for Guest |",20,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A200,X001QYBXFX,Clyhrbs-tubes-set-of-4-pk of 100-25each,B0BSXLG84C,,,,"Clayherbs 22ml | 25pc Each (Pack-100) Bulk Hotel Amenities Toileties For Hospitality Travel Size Mini Shampoo,Conditioner Shower Gel Moisturizer Cream for Guest |",3,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A100,X001SJSHGT,Clayherbs Aloe Lily Shampoo 50,B0BRFX71TV,,,,Clayherbs 22ml | 50pc Set Bulk Hotel Amenities | Hospitality Toileties | Travel Size Mini Shampoo | Hotel Shampoo | Nourishing | Biodegradable | Supplies for Guests,36,0,0,0,0,0,0,0,0,0,0,0,,
A200,X001XE71MP,Erth-brwn-box-Dental-kit-25pcs,B09TT6VVYK,,,,Clayherbs 25 Kits Toothbrushes with Toothpaste (8g) | Disposable Travel Dental Kit | Hygienic Care | Hotels & Guest House Accessories,99,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,13-Sep-2027
A200,X001XE5B4F,Shaving-Kit-25-Pcs,B09RKGNV2T,,,,Clayherbs 25-Pack Smooth Shave Disposable Razor & Cream (4g) Travel Size Toiletries for Men,97,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A100,X002GD3F13,25g soap Pack-50,B0G2XHMKCH,,,,"Clayherbs 25gm Ayurveda Mini Bathing Bar | Cream & Citrus | 100% Vegan Paraben-Free Guest Soap | Bulk Hotel Toiletries, Travel, Airbnb, Spa Amenities (50, 25g)",44,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A100,X002A06J1Z,Bath Salt 30gm Pack-100,B0F43JNVXD,,,,"Clayherbs 30g French Lavender Bath Salt – Hotel Toiletries in Eco-Friendly Paper Pack | Relaxing Spa Soak | Travel Size Guest Amenities, Guest House, Resorts (100)",100,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002A076JJ,Bath Salt 30gm Pack-200,B0F43NGW4D,,,,"Clayherbs 30g French Lavender Bath Salt – Hotel Toiletries in Eco-Friendly Paper Pack | Relaxing Spa Soak | Travel Size Guest Amenities, Guest House, Resorts (200)",50,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002A5IS7X,Bath Salt 30gm Pack-30,B0F4QTP47S,,,,"Clayherbs 30g French Lavender Bath Salt – Hotel Toiletries in Eco-Friendly Paper Pack | Relaxing Spa Soak | Travel Size Guest Amenities, Guest House, Resorts (30)",20,0,0,0,0,0,0,0,0,0,0,0,31-Oct-2026,01-Oct-2026
A100,X002A06PEV,Bath Salt 30gm Pack-300,B0F43M1L32,,,,"Clayherbs 30g French Lavender Bath Salt – Hotel Toiletries in Eco-Friendly Paper Pack | Relaxing Spa Soak | Travel Size Guest Amenities, Guest House, Resorts (300)",50,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002A04OEJ,Bath Salt 30gm Pack-400,B0F43KVGRY,,,,"Clayherbs 30g French Lavender Bath Salt – Hotel Toiletries in Eco-Friendly Paper Pack | Relaxing Spa Soak | Travel Size Guest Amenities, Guest House, Resorts (400)",100,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002A06PEL,Bath Salt 30gm Pack-50,B0F43NDWYL,,,,"Clayherbs 30g French Lavender Bath Salt – Hotel Toiletries in Eco-Friendly Paper Pack | Relaxing Spa Soak | Travel Size Guest Amenities, Guest House, Resorts (50)",50,0,0,0,0,0,0,0,0,0,0,0,,
A100,X001ZJJX8D,Clayherbs_Po-100_Hair&BodyWash,B0CSPH17FK,,,,Clayherbs 30ml (Pack-100) Hotel Bath | Hotel Toiletries | Guest Amenities | Shower Gel | Body Wash Soap | Hospital Toiletry Kits | Hair & Body Wash | Bulk Toiletry,10,0,0,0,0,0,0,0,0,0,0,0,,
A100,X001ZJT3AB,Clayherbs_Po-150_Hair&BodyWash,B0CSP8J61Y,,,,Clayherbs 30ml (Pack-150) Hotel Bath | Hotel Toiletries | Guest Amenities | Shower Gel | Body Wash Soap | Hospital Toiletry Kits | Hair & Body Wash | Bulk Toiletry,14,0,0,0,0,0,0,0,0,0,0,0,,
A100,X001ZWOCYZ,Clayherbs_Po-175_Hair&BodyWash,B0CSPBN6VQ,,,,Clayherbs 30ml (Pack-175) Hotel Bath | Hotel Toiletries | Guest Amenities | Shower Gel | Body Wash Soap | Hospital Toiletry Kits | Hair & Body Wash | Bulk Toiletry,14,0,0,0,0,0,0,0,0,0,0,0,,
A100,X001ZWITQ7,Clayherbs_Po-200_Hair&BodyWash,B0CSPJ9CGT,,,,Clayherbs 30ml (Pack-200) Hotel Shampoo | Hotel Toiletries Shower gel | Hair Shampoo | Shower Gel | Body Wash Soap | Hospital Toiletry Kits | Hair & Body Wash Gel,14,0,0,0,0,0,0,0,0,0,0,0,,
A100,X001ZWOCYP,Clayherbs_Po-25_Hair&BodyWash,B0CSPBKWDQ,,,,Clayherbs 30ml (Pack-25) Hotel Bath | Hotel Toiletries | Guest Amenities | Shower Gel | Body Wash Soap | Hospital Toiletry Kits | Hair & Body Wash | Bulk Toiletry,22,0,0,0,0,0,0,0,0,0,0,0,,
A100,X001ZWOO25,Clayherbs_Po-300_Hair&BodyWash,B0CSPCRNGT,,,,Clayherbs 30ml (Pack-300) Hotel Bath | Hotel Toiletries | Guest Amenities | Shower Gel | Body Wash Soap | Hospital Toiletry Kits | Hair & Body Wash | Bulk Toiletry,14,0,0,0,0,0,0,0,0,0,0,0,,
A100,X001ZJJXOR,Clayherbs_Po-50_Hair&BodyWash,B0CSPBXMRJ,,,,Clayherbs 30ml (Pack-50) Hotel Bath | Hotel Toiletries | Guest Amenities | Shower Gel | Body Wash Soap | Hospital Toiletry Kits | Hair & Body Wash | Bulk Toiletry,12,0,0,0,0,0,0,0,0,0,0,0,,
A100,X001ZWOFUL,Clayherbs_Po-75_Hair&BodyWash,B0CSP9QYSB,,,,Clayherbs 30ml (Pack-75) Hotel Bath | Hotel Toiletries | Guest Amenities | Shower Gel | Body Wash Soap | Hospital Toiletry Kits | Hair & Body Wash | Bulk Toiletry,7,0,0,0,0,0,0,0,0,0,0,0,,
A200,X001SNCI9R,clayherbs-shampoo-30ml-pack-100,B09TKRPH4V,,,,Clayherbs 30ml | 100pc Bulk Hotel Amenities | Toileties For Hospitality | Travel Size Mini Shampoo | Nourishing | Biodegradable | Supplies for Guest,34,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A100,X001SIVR4J,clyhrbs-bigbottle-shmpo-pk-of-50,B0BT7WZKZ1,,,,Clayherbs 30ml | 50pc Set Bulk Amenities | Toileties For Hospitality | Travel Size Mini Shampoo | Biodegradable | Supplies for Guest | Green Apple |,10,0,0,0,0,0,0,0,0,0,0,0,,
A200,X001ZJT3B5,Silver Cap Conditioner 35ml 50 Pcs,B0CRRSPZ5C,,,,Clayherbs 35ml Luxury Hair Conditioner | Guest House | Hotel Toiletries Kit | Hotel Amenities | Hospital | Marriage Halls | Nourishing | Frizzy Hair | Spa (50),50,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A200,X001Z6OYI5,Silver Cap Conditioner 35ml 100 Pcs,B0CRRTRJWT,,,,Clayherbs 35ml Luxury Hair Conditioner | Guest House | Hotel Toiletries | Hotel Amenities | Hospital | Marriage Halls | Nourishing | Frizzy hair | Spa (100),47,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A200,X001Z6OYHL,Silver Cap Conditioner 35ml 150 Pcs,B0CRRTXPQB,,,,Clayherbs 35ml Luxury Hair Conditioner | Guest House | Hotel Toiletries | Hotel Amenities | Hospital | Marriage Halls | Nourishing | Frizzy hair | Spa (150),50,0,0,0,0,0,0,0,0,0,0,0,31-Oct-2027,01-Oct-2027
A200,X001ZJDYFB,Silver Cap Shampoo 35 ml 50 Pcs,B0CRRSB5TZ,,,,Clayherbs 35ml | 50pc Set Bulk Hotel Amenities | Toileties For Hospitality | Travel Size Shampoo | Hotel Shampoo | Nourishing | Biodegradable | Supplies for Guests |,50,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A200,X001ZWOCKJ,Clayherbs-Brwn-pck-Dental-Kit-500pcs,B09YYQHHZG,,,,Clayherbs 500 Kits Toothbrushes with Toothpaste (10g) | Disposable Travel Dental Kit | Hygienic Care | Hotels & Guest House Accessories,48,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A100,X002IP2Y0H,3in1 Kit Pack-60,B0GP6P3G99,,,,"Clayherbs 60 Sets Guest Amenity Kit | 3-in-1 Premium Hotel Toiletry Set | 20ml Bath Wash, 20mlMoisturizer & 15g Soap | 2 Years Shelf Life | Ideal for Hotels, Weddings & Travel",50,0,0,0,0,0,0,0,0,0,0,0,,
A200,X001ZWOCHR,Clayherbs Soap 100pc 15g,B0CVXSMBMK,,,,Clayherbs Aloe Vear Soap | Mini Soap For Travel | Hotel Toiletries In Bluk | Body Wash | Room Amenities | Nourishing Bar 15g | 30Ml 2pc Hair and Body Wash Gel Free (100),39,0,0,0,0,0,0,0,0,1,0,0,31-Dec-2027,01-Dec-2027
